,Water_(g),Lipid_Tot_(g),Carbohydrt_(g),A,0,1
248,8.81,14.87,52.29,A,FENNEL,['SEED']
249,8.84,6.41,58.35,A,FENUGREEK,['SEED']
250,6.45,0.73,72.73,A,GARLIC,['POWDER']
251,9.94,4.24,71.62,A,GINGER,['GROUND']
252,8.17,32.38,50.5,A,MACE,['GROUND']
253,7.64,7.04,60.56,A,MARJORAM,['DRIED']
254,5.27,36.24,28.09,A,SPICES,"['MUSTARD', 'SD', 'GROUND']"
255,6.23,36.31,49.29,A,NUTMEG,['GROUND']
256,5.39,1.04,79.12,A,ONION,['POWDER']
257,9.93,4.28,68.92,A,SPICES,"['OREGANO', 'DRIED']"
